table,primary_key,attr,en,ar,id,fil,vi
zap_profile_questions,1,title,How many members are there in your family?,كم عدد أفراد عائلتك؟,Berapa banyak anggota keluarga Anda?,Ilan ang miyembro ng iyong pamilya?,Gia đình bạn có mấy người
zap_profile_questions,2,title,What is your primary mode of commute?,ما هي وسيلتك الرئيسية للتنقل؟,Apa mode perjalanan utama Anda?,Ano ang iyong pangunahing paraan ng paglalakbay?,Dạng đi lại của bạn hàng ngày chủ yếu là gì?
zap_profile_questions,3,title,How many car do you have in your family currently?,كم سيارة لديك في العائلة حاليا؟,Berapa banyak mobil yang Anda miliki di keluarga Anda saat ini?,Ilang kotse ang pagmamay-ari ng iyong pamilya?,Hiện gia đình bạn có mấy chiếc xe?
zap_profile_questions,4,title,Occupation,الاحتلال,Pekerjaan,Trabaho,Nghề nghiệp
zap_profile_questions,5,title,What is your annual household income?,ما هو دخل الأسرة السنوي الخاص بك؟,Berapa pendapatan tahunan rumah tangga Anda?,Ano ang taunang kita ng iyong pamilya?,Thu nhập hàng năm của gia đình bạn là bao nhiêu?
zap_profile_questions,6,title,Why did you choose ZAP Subscribe?,لماذا اخترت برنامج ZAP Subscribe؟,Mengapa Anda memilih Berlangganan ZAP?,Bakit mo pinili ang ZAP Subscribe?,Tại sao bạn chọn đăng ký ZAP?
zap_profile_questions,7,title,How often will you share your car on zoomcar platform?,كم مرة ستشارك سيارتك على منصة zoomcar؟,Seberapa sering Anda akan membagikan mobil Anda di platform zoomcar?,Gaano kadalas mong ibabahagi ang iyong kotse sa zoomcar platform?,Bạn thường cho thuê xe hơi trên nền tảng zoomcar với tần suất thế nào?
zap_profile_questions,8,title,How did you like this website?,هل اعجبت بهذا الموقع؟,Bagaimana Anda menyukai situs web ini?,Nagusuthan mo ba ang website na ito?,Bạn thích trang web này thế nào?
zap_profile_questions,9,title,How did you come to know about us?,كيف علمت بنا؟,Bagaimana Anda bisa tahu tentang kami?,Paano mo kami nalaman?,Bạn đã biết gì về nó?
zap_profile_questions,10,title,How can we make ZAP subscribe even better?,كيف يمكننا جعل اشتراكك مع ZAP Subscribe أفضل؟,Bagaimana kami dapat membuat berlangganan ZAP lebih baik?,Paano namin mas mapapahusay ang ZAP subscribe?,Làm thế nào chúng tôi cải thiện ZAP?
zap_profile_questions,14,title,What's your purpose of Subscribing?,ما هو هدفك من الاشتراك؟,Apa tujuan Anda Berlangganan?,Ano ang dahilan ng iyong pag-subscribe?,Mục đích đăng ký của bạn là gì?
zap_profile_questions,15,title,How many days will you be driving in a month?,كم يوما سوف تقود سيارتك في الشهر؟,Berapa hari Anda akan mengemudi dalam sebulan?,Ilang araw kang magmamaneho sa isang buwan?,Mỗi tháng bạn lái xe mấy ngày?
zap_profile_questions,16,title,What is your marital status?,ما هو وضعك العائلي؟,Apa status perkawinan Anda?,Ano ang iyong estado?,Tình trạng hôn nhân của bạn thế nào?
zap_profile_questions,17,title,You preferred subscription over buying because it is,انت تفضل الاشتراك على الشراء للأسباب التالية,Anda lebih suka berlangganan daripada membeli karena,Mas gusto mo ang subscription kaysa bumili dahil ito ay,Bạn muốn thuê theo tháng chứ không mua vì
zap_profile_questions,18,title,Which of the following do you already possess?,أي مما يلي تمتلكه بالفعل؟,Manakah dari berikut ini yang Anda sudah miliki?,Alin sa mga sumusunod ang mayroon ka na?,Bạn đã sở hữu những gì sau đây?
zap_profile_questions,19,title,What other options did you look before subscribing?,ما هي الخيارات الأخرى التي نظرت اليها قبل الاشتراك؟,Opsi apa lagi yang Anda lihat sebelum berlangganan?,Ano ang iba pang opsyon na iyong tiningnan bago mag-subscribe? ,Bạn đã xem xét những phương án nào trước khi đăng ký thuê bao?
zap_profile_questions,20,title,Anniversary date?,تاريخ الذكرى السنوية؟,Tanggal Ulang Tahun Pernikahan?,Petsa ng Anibersaryo?,Ngày kỷ niệm?
zap_profile_questions,1,details,Will help us suggest better things for you!,سوف يساعدنا في اقتراح أشياء أفضل لك!,Akan membantu kami menyarankan hal-hal yang lebih baik untuk Anda!,Tutulong sa amin na gumawa ng mas mahusay para sa iyo!,Liệu bạn có giúp chúng tôi cải thiện những điều này cho bạn
zap_profile_questions,2,details,We know we upgraded your mobility choice,نحن نعلم أننا قمنا بترقية خيار التنقل الخاص بك,Kami tahu kami telah meningkatkan pilihan mobilitas Anda,Alam namin na ang in-upgrade namin ang iyong pinili sa mobility,Chúng tôi biết mình đã nâng cấp lựa chọn đi lại của bạn
zap_profile_questions,3,details,Glad that you chose ZAP subscribe,نحن سعيدين لأنك اخترت الاشتراك مع ZAP Subscribe,Kami senang Anda memilih berlangganan ZAP,Masaya na pinili mo ang ZAP subscribe,Rất vui bạn đã đăng ký ZAP
zap_profile_questions,4,details,We know wthat you are rockstar in what you do,نحن نعلم أنك مثل نجوم موسيقى الروك فيما تفعل,Kami tahu bahwa Anda adalah bintang dalam apa yang Anda lakukan,Alamin na ikaw ay isang rockstar in what you dosa ginagawa mo,Chúng tôi biết bạn rất giỏi những việc mình làm
zap_profile_questions,5,details,"Don't worry, your information is safe",لا تقلق ، معلوماتك آمنة,"Jangan khawatir, informasi Anda aman","Huwag mag-alala, litas ang iyong impormasyon","Đừng lo, thông tin của bạn an toàn"
zap_profile_questions,6,details,Tell us more about your choice,أخبرنا المزيد عن اختياراتك,Beri tahu kami lebih banyak tentang pilihan Anda,Sabihn mo pa sa amin ang iyong napili,Hãy nói thêm về sự lựa chọn của bạn
