uuid,description,content_en,message_type,title_en,content_ar,title_ar
002d16dd9f1340d7a65c20c77d16e7cf,accident_block_during_listing,"An accident block is created on your car ${cargroup_name} ${license}, we expect to return your car by ${block_end}. - Team Zoomcar Host",SMS,,تم إنشاء حظر حادث على سيارتك ${cargroup_name}$ {license}، نتوقع إعادة سيارتك بواسطة ${block_end}. - Zoomcar Host ,
c09d972f0eef4fd3855e63931b798798,accident_block_during_listing,"An accident block is created on your car ${cargroup_name} ${license}, we expect to return your car by ${block_end}.",ANDROID_PN,Accident block,تم إنشاء حظر حادث على سيارتك ${cargroup_name}$  {license}، نتوقع إعادة سيارتك بواسطة ${block_end}. ,كتلة الحوادث
927c1fe45f92491599a559cca1ce6f00,accident_block_during_listing,"An accident block is created on your car ${cargroup_name} ${license}, we expect to return your car by ${block_end}.",IOS_PN,Accident block,تم إنشاء حظر حادث على سيارتك ${cargroup_name}$  {license}، نتوقع إعادة سيارتك بواسطة ${block_end}. ,كتلة الحوادث
f0ab383b840b4acb84ab289caf4371f6,amigo_listing_creation,"Hey Zoomcar Host, your Listing ${entity_key} has been confirmed for ${cargroup_name} ${license} from ${location_address}. It starts on ${starts_at} to ${ends_at}.Click here ${deep_clean_google_form_url} to avail our deep cleaning & extensive deep cleaning services at the time of listing start and end. - Team Zoomcar Host",SMS,,مرحبًا يا صاح، تم تأكيد قائمتك ${entity_key} مقابل ${cargroup_name} ${license} من ${location_address}. يبدأ من ${starts_at} إلى ${ends_at}. انقر هنا ${deep_clean_google_form_url} للاستفادة من خدمات التنظيف العميق والتنظيف الشامل الشاملة في وقت بدء القائمة ونهايتها. - فريق Zoomcar Host ,
4757112c7f2b4e94b16309ed7f12362c,amigo_listing_creation,Your Listing has been confirmed for ${cargroup_name} ${license} from ${location_address},ANDROID_PN,Listing creation,تم تأكيد بطاقتك لـ ${cargroup_name} ${license} من ${location_address},إنشاء القائمة
376024f9ccc849249e071150acdf2f86,amigo_listing_creation,Your Listing has been confirmed for ${cargroup_name} ${license} from ${location_address},IOS_PN,Listing creation,تم تأكيد بطاقتك لـ ${cargroup_name} ${license} من ${location_address},إنشاء القائمة
f425f96e8bb64973a869df9a56e7d758,amigo_listing_creation_nudge_t3_days,"Dear Zoomcar Host, you haven't listed your car in a while. Our users are earning an average of Rs 20,000 per month! What are you waiting for? Create a listing NOW to start earning by clicking here: https://zap.zoomcar.com/create - Team Zoomcar Host",SMS,,عزيزي يا صاح، لم تقم بإدراج سيارتك منذ فترة. يكسب مستخدمونا ما معدله 20000 روبية في الشهر! ماذا تنتظر؟ أنشئ قائمة الآن لبدء الكسب بالنقر هنا: https://zap.zoomcar.com/create .  - فريق Zoomcar Host ,
e07e2eb3433d41a187ddfc3a4e4ee02a,Amigo_RNR_Leads_Comm,"Hey Zoomcar Host!Thanks for showing interest in our program by filling up the form. We tried reaching out to you to share the requested details, but could not receive a response. We would try to contact you today to share the details. Alternatively, you too can contact us at 08068972200.- Team Zoomcar Host",SMS,,مرحبًا يا صاح! شكرًا لإبداء الاهتمام ببرنامجنا من خلال ملء النموذج. لقد حاولنا التواصل معك لمشاركة التفاصيل المطلوبة ، لكن لم نتمكن من تلقي الرد. سنحاول الاتصال بك اليوم لمشاركة التفاصيل. بدلاً من ذلك، يمكنك أيضًا الاتصال بنا على 08068972200.- فريق Zoomcar Host ,
701421c05dfb4f189e54c0f73d73f0f2,booking end amigo feedback,"Hey ${subscriber_type}, the booking ${booking_id} on your car ${car_license} just got completed. Click here ${deep_link} to share your car sharing experience for this booking- ${signature}.",SMS,,مرحبًا ${subscriber_type}، لقد اكتمل حجز ${booking_id} لسيارتك ${car_ license}. انقر هنا ${deep_link} لمشاركة تجربة مشاركة سيارتك لهذا الحجز- ${signature}.,
6ae40eea849a4783a6140f9add180b12,booking end amigo feedback pn,Click here to rate your car sharing experience for the booking ${booking_id},ANDROID_PN,Booking on your car just got completed!,انقر هنا لتقييم تجربة مشاركة سيارتك للحجز ${booking_id} ,اكتمل الحجز على سيارتك للتو!
841f5569938f411b8afbb250f3fbbcbb,booking end ios pn feedback,Click here to rate your car sharing experience for the booking ${booking_id},IOS_PN,Booking on your car just got completed!,انقر هنا لتقييم تجربة مشاركة سيارتك للحجز ${booking_id} ,اكتمل الحجز على سيارتك للتو!
ef4c55266457470b8c9859b4c6abf9cc,booking_allocated_to_listing,${no_fuel}Booking ${entity_key} for ${customer_name} is scheduled to start on your Listing ${listing_encoded_id} at ${starts_at}.${fuel_text} ${cargroup_name} ${license} at ${location_address}. - Team Zoomcar Host,WHATSAPP,,من المقرر أن يبدأ حجز ${no_fuel} ${entity_key} لـ ${customer_name} في قائمتك ${listing_encoded_id} في ${starts_at}.  {fuel_text} ${cargroup_name}  {license} في ${location_address}. - فريق Zoomcar Host ,
88e5f2e8d7224741baa710567f05fc14,booking_allocated_to_listing,${no_fuel}Booking(${entity_key}) is about to start at ${starts_at}.${fuel_text} ${cargroup_name} ${license} at ${location_address}.,ANDROID_PN,Booking is about to start,الحجز ${no_fuel}(${entity_key}) على وشك أن يبدأ في ${starts_at}. ${fuel_text}  {cargroup_name}  {license} في ${location_address}. ,الحجز على وشك أن يبدأ
a7c6beb57b8a4eb6820b965852e233eb,booking_allocated_to_listing,${no_fuel}Booking(${entity_key}) is about to start at ${starts_at}.${fuel_text} ${cargroup_name} ${license} at ${location_address}.,IOS_PN,Booking is about to start,الحجز ${no_fuel}(${entity_key}) على وشك أن يبدأ في ${starts_at}. ${fuel_text}  {cargroup_name}  {license} في ${location_address}. ,الحجز على وشك أن يبدأ
657d949efdf7457facfa54b028065bfa,booking_allocated_to_listing,${no_fuel}Booking ${entity_key} for ${customer_name} is scheduled to start on your Listing ${listing_encoded_id} at ${starts_at}.${fuel_text} ${cargroup_name} ${license} at ${location_address}. - Team Zoomcar Host,SMS,,من المقرر أن يبدأ حجز ${no_fuel} ${entity_key} لـ ${customer_name} في قائمتك ${listing_encoded_id} في ${starts_at}.  {fuel_text} ${cargroup_name}  {license} في ${location_address}. - فريق Zoomcar Host ,
b0694c69b94941e79e9d522cb210c6eb,feedback collection listing end sms,"Hey ${subscriber_type}, your listing ${listing_id} on your car ${car_license} just got completed. Click here ${deep_link} to share your car sharing experience for this listing - ${signature}.",SMS,,مرحبًا ${subscriber_type}، لقد اكتملت قائمتك ${listing_id} على سيارتك ${car_license}. انقر هنا ${deep_link} لمشاركة تجربة مشاركة سيارتك لهذه القائمة - ${signature}.,
9eb69ef819054ea3bb3c561a4a61856a,feedback listing end android pn,Click here to rate your car sharing experience for the booking ${listing_id},ANDROID_PN,Your car listing just got completed!,انقر هنا لتقييم تجربة مشاركة سيارتك للحجز ${listing_id} ,قائمة سيارتك اكتملت للتو!
4cf3f8b8f2964f319150cade4e3e7e80,feedback listing end android pn,Click here to rate your car sharing experience for the booking ${listing_id},IOS_PN,Your car listing just got completed!,انقر هنا لتقييم تجربة مشاركة سيارتك للحجز ${listing_id} ,قائمة سيارتك اكتملت للتو!
